"","to","from","from_gdp","to_gdp","domestic","km","value","from_pop","to_pop"
"216","NB","UT",267121.15818,34495.1,0,3734.95750817975,3615804,3271616,775610
"217","NB","KY",292818.69972,34495.1,0,1845.15811818618,26941087,4505836,775610
"218","NB","NY",2371795.13721,34495.1,0,872.849113507989,82743442,20201249,775610
"219","NB","ID",112029.37086,34495.1,0,3814.1499143622,5271137,1839106,775610
"220","NB","IN",510642.47103,34495.1,0,1778.86841814194,52258398,6785528,775610
"221","NB","IA",260420.71125,34495.1,0,2211.76159341243,29608786,3190369,775610
"222","NB","CO",527898.67284,34495.1,0,3256.4038473864,9591551,5773714,775610
"223","NB","FL",1504330.4142,34495.1,0,2465.12561876733,56231145,21538187,775610
"226","NB","NH",116592.31458,34495.1,0,554.932328220434,48083513,1377529,775610
"227","NB","CT",380093.02611,34495.1,0,765.777938222702,39620257,3605944,775610
"228","NB","OH",932697.64812,34495.1,0,1507.78751811313,83902382,11799448,775610
"229","NB","TX",2474499.05487,34495.1,0,3190.84206803092,2852982548,29145505,775610
"230","NB","MT",69948.32964,34495.1,0,3435.40580974996,401525,1084225,775610
"231","NB","ND",80798.25825,34495.1,0,2543.38584005973,3279367,779094,775610
"232","NB","MB",69243.2,34495.1,1,2428.09095885726,113055000,1342153,775610
"233","NB","AL",311553.73158,34495.1,0,2300.73972146829,13728661,5024279,775610
"234","NB","MA",780309.41955,34495.1,0,615.208550316574,138507019,7029917,775610
"235","NB","GA",858100.65702,34495.1,0,2086.48165005015,105498444,10711908,775610
"236","NB","NC",786121.37424,34495.1,0,1653.79601602049,126406234,10439388,775610
"237","NB","BC",286182.1,34495.1,1,4009.25211994731,137589000,5000879,775610
"238","NB","DC",192495.24066,34495.1,0,1217.55028149551,301,689545,775610
"239","NB","NV",244960.46859,34495.1,0,4234.82496115796,3974736,3104614,775610
"240","NB","NE",176276.27658,34495.1,0,2566.73157341141,2689870,1961504,775610
"241","NB","ME",92496.47403,34495.1,0,371.118757268049,995770496,1362359,775610
"242","NB","HI",123720.42138,34495.1,0,8461.44622756033,4349,1455271,775610
"244","NB","NJ",853618.25613,34495.1,0,940.600005264274,77206461,9288994,775610
"245","NB","WV",106473.64056,34495.1,0,1460.27254020212,12526935,1793716,775610
"246","NB","OR",330108.57042,34495.1,0,4334.33243080749,33120357,4237256,775610
"247","NB","WY",53115.14355,34495.1,0,3253.48057488323,846485,576851,775610
"248","NB","MS",154100.46033,34495.1,0,2522.43419389307,6929907,2961279,775610
"249","NB","QC",425276.7,34495.1,1,513.126608682657,1732689000,8501833,775610
"250","NB","MD",556490.71404,34495.1,0,1186.77396431827,17387883,6177224,775610
"251","NB","RI",83348.82543,34495.1,0,663.722241743816,6242190,1097379,775610
"252","NB","SC",331161.99633,34495.1,0,1860.8877873056,256051355,5118425,775610
"253","NL","NM",137760.0849,33159.5,0,4528.7761837272,9700,2117522,510550
"254","NL","UT",267121.15818,33159.5,0,4589.90028049689,655,3271616,510550
"255","NL","MB",69243.2,33159.5,1,3192.21896496021,57910000,1342153,510550
"256","NL","PA",1064483.10039,33159.5,0,2013.62916068482,24183188,13002700,510550
"257","NL","WV",106473.64056,33159.5,0,2377.97142739917,639655,1793716,510550
"258","NL","FL",1504330.4142,33159.5,0,3284.70061908723,95354,21538187,510550
"259","NL","NB",34495.1,33159.5,1,927.67809102111,390466000,775610,510550
"260","NL","DC",192495.24066,33159.5,0,2114.42741929101,847,689545,510550
"261","NL","ME",92496.47403,33159.5,0,1289.28154914895,2055905,1362359,510550
